ticker,symbol,updated_date,price,market_cap_cr,eps,book_value,pe,pb,roe,roce,dividend_yield,debt_to_equity,sales_cr,profit_growth_3yr,sales_growth_3yr,promoter_holding,pledged_pct,error
20MICRONS.NS,20MICRONS,2026-09-01T04:35:26.391376,216.65,764.4820992,19.2,137.055,11.283854,1.5807523,,9.0,,,,,,44.3,,
21STCENMGM.NS,21STCENMGM,2026-09-01T04:35:27.593307,39.54,41.5170016,,31.483,,1.2559159,,56.0,,,,,,46.04,,
360ONE.NS,360ONE,2026-09-01T04:35:28.813991,1172.8,47799.1665664,30.12,242.533,38.937584,4.835631,,,,,,,,22.93,,
3BBLACKBIO.NS,3BBLACKBIO,2026-09-01T04:35:29.986156,1458.8,,66.44,388.372,21.956652,3.7561924,,7.0,,,,,,43.42,,
3IINFOLTD.NS,3IINFOLTD,2026-09-01T04:35:31.160289,22.99,476.821248,1.79,17.827,12.8435755,1.289617,,-2.0,,,,,,,,
3MINDIA.NS,3MINDIA,2026-09-01T04:35:32.321982,33515.0,37754.8832768,512.78,1569.586,65.35941,21.352764,,,,,,,,75.0,,
5PAISA.NS,5PAISA,2026-09-01T04:35:34.681735,354.75,1663.0416384,13.04,207.533,27.204754,1.7093667,,,,,,,,30.01,,
63MOONS.NS,63MOONS,2026-09-01T04:35:35.843576,775.6,3573.8513408,,770.436,,1.0067027,,-8.0,,,,,,45.63,,
A2ZINFRA.NS,A2ZINFRA,2026-09-01T04:35:36.996730,16.62,295.042176,0.21,2.802,79.14286,5.9314775,,-5.0,,,,,,40.83,,
AAATECH.NS,AAATECH,2026-09-01T04:35:38.151576,96.43,123.688832,1.69,23.934,57.05917,4.0289965,,,,,,,,71.51,,
AADHARHFC.NS,AADHARHFC,2026-09-01T04:35:39.246592,465.45,20396.3318272,25.77,173.074,18.061699,2.689312,20.0,,,,,,,75.61,,
AAKASH.NS,AAKASH,2026-09-01T04:35:40.406403,8.7,88.0875008,0.35,6.456,24.857143,1.3475837,,,,,,,,73.33,,
AAREYDRUGS.NS,AAREYDRUGS,2026-09-01T04:35:41.582895,88.01,293.551232,1.27,52.865,69.29922,1.6648066,,,,,,,,53.4,,
AARNAV.NS,AARNAV,2026-09-01T04:35:42.687718,32.99,,,46.829,,0.704478,,,,,,,,56.0,,
AARON.NS,AARON,2026-09-01T04:35:43.844655,129.45,271.1521536,3.24,23.208,39.9537,5.577818,,,,,,,,73.72,,
AARTECH.NS,AARTECH,2026-09-01T04:35:44.948308,48.33,153.5462272,1.54,9.759,31.38312,4.952352,,,,,,,,52.38,,
AARTIDRUGS.NS,AARTIDRUGS,2026-09-01T04:35:46.122657,413.85,3777.2091392,20.93,169.788,19.773052,2.4374516,,,,,,,,62.46,,
AARTIIND.NS,AARTIIND,2026-09-01T04:35:47.297483,519.0,18825.5158272,14.64,164.741,35.450817,3.1503997,,19.0,,,,,,53.78,,
AARTIPHARM.NS,AARTIPHARM,2026-09-01T04:35:48.475432,838.25,7601.2355584,22.57,234.275,37.14001,3.5780602,,,,,,,,45.98,,
AARTISURF.NS,AARTISURF,2026-09-01T04:35:49.617113,520.0,440.4870656,21.71,289.663,23.952097,1.7951896,,,,,,,,44.1,,
AARVI.NS,AARVI,2026-09-01T04:35:50.746114,141.04,208.8900992,12.97,95.923,10.874325,1.470346,,30.0,,,,,,73.39,,
AASTHA.NS,AASTHA,2026-09-01T04:35:51.979705,83.22,,5.19,39.38,16.034681,2.1132555,,,,,,,,53.21,,
AAVAS.NS,AAVAS,2026-09-01T04:35:53.077724,1251.8,9925.525504,86.22,637.792,14.518674,1.962709,8.0,,,,,,,58.29,,
ABAN.NS,ABAN,2026-09-01T04:35:54.325612,14.54,84.8631808,,,,,,9.0,,,,,,47.01,,
ABANSENT.NS,ABANSENT,2026-09-01T04:35:55.495505,27.88,194.4598656,4.59,31.034,6.074074,0.8983695,,,,,,,,9.97,,
ABB.NS,ABB,2026-09-01T04:35:56.708844,7367.5,156123.4898944,74.86,440.551,98.417046,16.723375,,,,,,,,75.0,,
ABBOTINDIA.NS,ABBOTINDIA,2026-09-01T04:35:57.869259,25800.0,54823.2003584,759.08,2246.751,33.98851,11.483249,,,,,,,,74.99,,
ABCAPITAL.NS,ABCAPITAL,2026-09-01T04:35:58.976903,397.6,108837.8503168,15.48,131.406,25.684755,3.025737,18.0,,,,,,,72.75,,
ABCOTS.NS,ABCOTS,2026-09-01T04:36:00.252574,215.98,474.3702528,6.38,69.726,33.852665,3.0975533,,,,,,,,34.91,,
ABDL.NS,ABDL,2026-09-01T04:36:01.375865,615.85,17225.949184,7.92,59.442,77.758835,10.360518,,,,,,,,80.91,,
ABFRL.NS,ABFRL,2026-09-01T04:36:02.538197,52.0,6327.2415232,,47.98,,1.0837849,,,,,,,,59.46,,
